imdb_id,movie_name,genre,cast
tt15354916,Jawan,"Action, Thriller","Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone"
tt15748830,Jaane Jaan,"Crime, Drama, Mystery","Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva"
tt11663228,Jailer,"Action, Comedy, Crime","Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff"
tt14993250,Rocky Aur Rani Kii Prem Kahaani,"Comedy, Drama, Family","Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi"
tt15732324,OMG 2,"Comedy, Drama","Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra"
tt18266472,Sukhee,Drama,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila"
tt18561736,The Great Indian Family,Family,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit"
tt3691740,The BFG,"Adventure, Family, Fantasy","Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement"
tt12844910,Pathaan,"Action, Adventure, Thriller","Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia"
tt15464390,Mastaney,"Action, Drama, History","Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol"
tt1187043,3 Idiots,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
tt14914988,Satyaprem Ki Katha,"Comedy, Drama, Musical","Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao"
tt3741834,Lion,"Biography, Drama","Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
tt13131610,Bholaa Shankar,"Action, Drama","Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu"
tt22188452,Haddi,"Crime, Drama","Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba"
tt28568397,Friday Night Plan,"Comedy, Drama","Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand"
tt21908676,Neeyat,"Crime, Mystery, Thriller","Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi"
tt15441054,Gadar 2,"Action, Adventure, Drama","Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel"
tt27542289,Por Thozhil,"Action, Crime, Thriller","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu"
tt0454876,Life of Pi,"Adventure, Drama, Fantasy","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
tt0249371,Asoka,"Action, Biography, Drama","Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt"
tt0838221,The Darjeeling Limited,"Adventure, Comedy, Drama","Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan"
tt5074352,Dangal,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
tt8239946,Tumbbad,"Drama, Fantasy, Horror","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
tt15428134,Dunki,"Comedy, Drama","Shah Rukh Khan, Taapsee Pannu, Boman Irani, Vicky Kaushal"
tt24485052,Sirf Ek Bandaa Kaafi Hai,"Crime, Drama, Thriller","Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey"
tt1954470,Gangs of Wasseypur,"Action, Comedy, Crime","Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha"
tt15433600,Khufiya,"Action, Biography, Crime","Tabu, Ali Fazal, Wamiqa Gabbi, Azmeri Haque Badhon"
tt13751694,Animal,"Action, Crime, Drama","Ranbir Kapoor, Triptii Dimri, Saurabh Sachdeva, Anil Kapoor"
tt15891388,Miss Shetty Mr Polishetty,"Comedy, Drama, Romance","Keshav Deepak, Abhinav Gomatam, Jayasudha, Koushik Mahata"
tt19755170,Bawaal,"Action, Drama, Romance","Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena"
tt6277462,Brahmastra Part One: Shiva,"Action, Adventure, Fantasy","Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni"
tt20913276,Ghoomer,"Drama, Sport","Amitabh Bachchan, Shabana Azmi, Abhishek Bachchan, Saiyami Kher"
tt18411490,Tiger 3,"Action, Adventure, Thriller","Salman Khan, Katrina Kaif"
tt8672856,Tu Jhoothi Main Makkaar,"Comedy, Romance","Ranbir Kapoor, Shraddha Kapoor, Krrish Saini, Anubhav Singh Bassi"
tt15501640,Drishyam 2,"Crime, Drama, Mystery","Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran"
tt0083987,Gandhi,"Biography, Drama, History","Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth"
tt2338151,PK,"Comedy, Drama, Sci-Fi","Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
tt1188996,My Name Is Khan,"Adventure, Drama, Romance","Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
tt3405236,Raees,"Action, Crime, Drama","Shah Rukh Khan, Jaideep Ahlawat, Sunny Leone, Nawazuddin Siddiqui"
tt26324936,Rama Banam,"Action, Drama","Gopichand, Dimple Hayathi, Jagapathi Babu, Kushboo"
tt8108198,Andhadhun,"Crime, Mystery, Thriller","Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan"
tt23036080,Thank You for Coming,Comedy,"Bhumi Pednekar, Dolly Ahluwalia, Shibani Bedi, Saloni Daini"
tt22086334,Dream Girl 2,"Comedy, Drama, Romance","Paresh Rawal, Ananya Panday, Ayushmann Khurrana, Annu Kapoor"
tt15380630,Kushi,"Comedy, Drama, Romance","Samantha Ruth Prabhu, Vijay Deverakonda, Lakshmi, Murli Sharma"
